Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,EEHZC1K470V,CAP-SMD_BD10.0-L10.3-W10.3-FD,182.850002,-68.875,180.0,top
C10,47uF,C_1206,155.95,-84.4575,180.0,top
C11,100nF,C_0402,170.2,-60.8,90.0,top
C12,100nF,C_0402,138.246642,-44.509459,-90.0,top
C13,1uF,C_0402,165.2,-67.6,180.0,top
C14,1uF,C_0402,169.6,-71.499999,-90.0,top
C15,1uF,C_0402,165.188593,-66.58751,180.0,top
C17,47uF,C_1206,155.95,-86.8575,180.0,top
C18,2.2nF,C_0402,196.4,-79.500001,270.0,bottom
C19,47uF,C_1206,155.95,-89.2575,180.0,top
C2,EEHZC1K470V,CAP-SMD_BD10.0-L10.3-W10.3-FD,182.850002,-58.105,180.0,top
C20,100nF,C_0402,166.75,-84.5775,90.0,top
C21,1nF,C_0402,172.29157,-69.319934,45.0,top
C22,100nF,C_0402,163.15,-87.277501,-90.0,top
C23,1uF,C_1206,168.45,-83.7575,-90.0,top
C24,1nF,C_0402,173.6,-67.533146,-90.0,top
C25,1nF,C_0402,173.494182,-62.311502,135.0,top
C26,2.2nF,C_0402,196.1,-64.7,90.0,bottom
C27,1uF,C_1206,168.45,-88.4575,90.0,top
C28,1uF,C_1206,170.75,-83.7575,-90.0,top
C29,1uF,C_0402,163.775,-65.125,0.0,bottom
C3,EEHZC1K470V,CAP-SMD_BD10.0-L10.3-W10.3-FD,182.850002,-47.205,180.0,top
C30,100nF,C_0402,163.775,-65.975,0.0,bottom
C31,100nF,C_0402,134.042473,-47.75,270.0,bottom
C32,2.2nF,C_0402,196.1,-56.300001,270.0,bottom
C33,100nF,C_0402,136.75,-53.0,0.0,bottom
C36,1uF,C_0402,135.0,-47.75,90.0,bottom
C37,1uF,C_0402,150.673984,-82.627253,-90.0,top
C38,47nF,C_0603,174.77245,-42.635988,-90.0,top
C39,2.2nF,C_0402,148.279187,-45.206566,315.0,bottom
C4,EEHZC1K470V,CAP-SMD_BD10.0-L10.3-W10.3-FD,182.850001,-90.465,180.0,top
C40,2.2nF,C_0402,149.618307,-43.732109,135.0,bottom
C41,100nF,C_0402,151.826858,-49.099801,270.0,bottom
C42,1uF,C_0402,147.5,-81.399999,90.0,top
C43,1uF,C_0402,150.049999,-77.009999,180.0,top
C44,4.7uF,C_0402,159.975003,-48.8,-90.0,top
C45,1uF,C_0402,156.865685,-59.765686,-135.0,top
C46,100nF,C_0402,144.675003,-55.999999,90.0,top
C47,100nF,C_0402,156.3,-59.2,-135.0,top
C48,100nF,C_0402,159.075003,-48.8,-90.0,top
C49,100nF,C_0402,147.275003,-45.999999,90.0,top
C5,100nF,C_0402,185.940002,-47.200001,180.0,bottom
C50,100nF,C_0402,144.27392,-54.635217,180.0,top
C51,1nF,C_0402,146.338276,-50.930681,90.0,bottom
C52,1uF,C_0402,143.875003,-53.299999,90.0,top
C53,100nF,C_0402,143.8,-55.999999,90.0,top
C54,2.2uF,C_0402,140.030494,-80.974639,-90.0,top
C55,2.2uF,C_0402,144.25,-81.0,-90.0,top
C56,10nF,C_0402,151.25,-56.0,90.0,bottom
C57,10nF,C_0402,148.823875,-55.231472,90.0,bottom
C58,10nF,C_0402,147.0,-55.250001,90.0,bottom
C6,47nF,C_0603,166.78,-69.4,0.0,top
C61,47nF,C_0402,182.9,-42.25,90.0,bottom
C62,47nF,C_0402,178.6,-42.999999,90.0,bottom
C63,47nF,C_0402,173.4,-43.999999,90.0,bottom
C64,100nF,C_0402,149.388285,-43.355574,90.0,top
C65,100nF,C_0402,150.160178,-49.063207,270.0,bottom
C66,1nF,C_0402,148.140499,-50.939801,90.0,bottom
C67,1nF,C_0402,149.972859,-50.949005,90.0,bottom
C68,4.7uF,C_1206,182.172717,-51.806995,0.0,bottom
C69,4.7uF,C_1206,182.3,-63.825,0.0,bottom
C7,EEHZC1K470V,CAP-SMD_BD10.0-L10.3-W10.3-FD,182.900001,-79.65,180.0,top
C70,4.7uF,C_1206,182.066201,-75.939468,0.0,bottom
C71,4.7uF,C_1206,182.07,-73.6,0.0,bottom
C72,4.7uF,C_1206,182.3,-61.475,0.0,bottom
C73,4.7uF,C_1206,182.17,-49.4,0.0,bottom
C76,100nF,C_0402,163.875003,-44.1,0.0,top
C8,100nF,C_0402,167.7,-70.5,180.0,top
C83,100nF,C_0402,144.775003,-53.3,90.0,top
C85,18pF,C_0402,151.05,-43.350002,90.0,top
C87,18pF,C_0402,155.900001,-43.349999,-90.0,top
C9,GRM32EC72A106KE05L,C1210,166.175,-73.975,0.0,top
C93,1uF,C_0402,154.6,-74.51,90.0,top
CN1,1053141104,CONN-TH_4P-P2.50_MOLEX_1053141104,135.7475,-67.75,-90.0,top
CN2,1053141104,CONN-TH_4P-P2.50_MOLEX_1053141104,135.695,-74.085,-90.0,top
CN3,1053141104,CONN-TH_4P-P2.50_MOLEX_1053141104,135.762633,-61.335527,-90.0,top
D1,White,D_0603,143.25,-49.25,0.0,top
D2,Green,D_0805,169.6,-54.9,180.0,top
D3,"PESD2CAN,215",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,143.25,-71.0,0.0,bottom
D4,Red,D_0805,169.639999,-56.9,180.0,top
D6,Yellow,D_0805,152.7,-73.459999,-90.0,top
FB1,~,FB_0603,142.575003,-54.6,-90.0,top
FB2,~,FB_0603,142.0,-80.5,0.0,top
H1,MountingHole,MountingHole_3.2mm_M3,132.0,-44.5,0.0,top
H2,MountingHole,MountingHole_3.2mm_M3,198.5,-44.5,0.0,top
H3,MountingHole,MountingHole_3.2mm_M3,132.0,-93.0,0.0,top
H4,MountingHole,MountingHole_3.2mm_M3,198.5,-93.0,0.0,top
J1,Conn_02x01,PinHeader_2x01_P2.54mm_Vertical,133.48,-55.5,180.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,131.64,-82.9,-90.0,top
J3,Conn_ARM_SWD_TagConnect_TC2030-NL,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,164.050002,-55.75,90.0,top
J4,Screw_Terminal_01x05,CUI_TB005_-762-05BE,197.7,-68.78,90.0,top
L1,FNR4020S8R2MT,IND-SMD_L4.0-W4.0_FNR40XXS,160.55,-87.7575,-90.0,top
NT1,NetTie_2,NetTie-2_SMD_Pad0.5mm,178.4,-72.0,180.0,bottom
NT2,NetTie_2,NetTie-2_SMD_Pad0.5mm,182.764706,-79.230391,180.0,bottom
NT3,NetTie_2,NetTie-2_SMD_Pad0.5mm,183.4,-66.0,0.0,top
NT4,NetTie_2,NetTie-2_SMD_Pad0.5mm,181.699999,-67.4,0.0,top
NT5,NetTie_2,NetTie-2_SMD_Pad0.5mm,176.4,-63.0,135.0,bottom
NT6,NetTie_2,NetTie-2_SMD_Pad0.5mm,181.8,-59.4,0.0,top
NT7,NetTie_2,NetTie-2_SMD_Pad2.0mm,169.6,-73.1,-90.0,top
Q1,IAUCN08S7N019ATMA1,TDSON-8-1,188.15,-74.855,0.0,bottom
Q2,IAUCN08S7N019ATMA1,TDSON-8-1,191.745,-80.655,180.0,bottom
Q3,IAUCN08S7N019ATMA1,TDSON-8-1,188.35,-62.585,0.0,bottom
Q4,IAUCN08S7N019ATMA1,TDSON-8-1,192.3,-68.915,180.0,bottom
Q5,IAUCN08S7N019ATMA1,TDSON-8-1,188.2,-50.505,0.0,bottom
Q6,IAUCN08S7N019ATMA1,TDSON-8-1,191.65,-56.355,180.0,bottom
R1,100Ω,R_0402,172.977647,-70.571696,-45.0,top
R10,2.7Ω,R_0805,198.21,-63.8,180.0,bottom
R11,19.1kΩ,R_0402,166.399999,-89.8,0.0,top
R12,2mΩ,R_2512_6332Metric,184.2,-57.2,0.0,bottom
R13,2.7Ω,R_0805,198.3,-57.2,180.0,bottom
R14,120Ω,R_0402,137.082309,-55.686301,0.0,bottom
R15,56Ω,R_0402,147.894839,-55.242422,90.0,bottom
R16,56Ω,R_0402,149.714951,-55.248842,90.0,bottom
R17,4.7kΩ,R_0402,183.65929,-46.059291,180.0,bottom
R18,383kΩ,R_0805,189.0,-44.59,90.0,top
R19,9.76kΩ,R_0805,176.5,-42.75,-90.0,top
R2,100Ω,R_0402,173.588583,-69.950838,-45.0,top
R20,56Ω,R_0402,152.140909,-55.989021,90.0,bottom
R21,4.7kΩ,R_0402,137.224999,-42.535001,-90.0,top
R22,10kΩ,R_0402,169.279998,-58.9,-90.0,top
R23,100kΩ,R_0402,149.81,-79.799999,-90.0,top
R24,10kΩ,R_0402,160.375003,-50.699999,-90.0,top
R25,10Ω,R_0402,187.067445,-53.729111,180.0,bottom
R26,10Ω,R_0402,187.70544,-65.903718,180.0,bottom
R27,10Ω,R_0402,187.126018,-78.095926,180.0,bottom
R28,10Ω,R_0402,187.062834,-54.6,180.0,bottom
R29,5.1kΩ,R_0402,136.39,-84.65,0.0,top
R3,330Ω,R_0402,169.6,-53.4,180.0,top
R30,5.1kΩ,R_0402,136.39,-81.45,0.0,top
R31,10Ω,R_0402,187.689148,-67.126221,180.0,bottom
R32,10Ω,R_0402,187.125,-79.0,180.0,bottom
R33,383kΩ,R_0402,187.4,-42.6,0.0,bottom
R34,1kΩ,R_0402,149.087391,-50.932396,90.0,bottom
R35,383kΩ,R_0402,187.4,-43.5,0.0,bottom
R36,1kΩ,R_0402,147.246245,-50.932448,90.0,bottom
R37,383kΩ,R_0402,187.399999,-44.4,0.0,bottom
R38,9.76kΩ,R_0402,174.3,-44.0,90.0,bottom
R39,9.76kΩ,R_0402,179.4,-42.999999,90.0,bottom
R4,330Ω,R_0402,170.179998,-58.9,-90.0,top
R40,9.76kΩ,R_0402,182.1,-42.25,90.0,bottom
R41,1kΩ,R_0402,145.420402,-50.922143,90.0,bottom
R42,100Ω,R_0402,175.0,-67.063586,0.0,top
R43,10kΩ,R_0402,167.0,-57.5,-90.0,top
R44,100Ω,R_0402,175.0,-67.969028,0.0,top
R45,100Ω,R_0402,174.761541,-61.662723,45.0,top
R46,100Ω,R_0402,174.153553,-61.046447,45.0,top
R47,100Ω,R_0402,152.675003,-49.1,90.0,bottom
R48,100Ω,R_0402,150.217986,-43.35291,-90.0,top
R49,100Ω,R_0402,151.0,-49.100001,90.0,bottom
R5,330Ω,R_0402,151.1,-73.400001,-90.0,top
R50,10kΩ,R_0402,141.75,-45.343462,90.0,bottom
R51,100kΩ,R_0402,149.16,-83.4,0.0,top
R52,20kΩ,R_0402,141.75,-43.5,90.0,bottom
R53,10kΩ,R_0402,143.5,-46.25,90.0,bottom
R54,20kΩ,R_0402,143.506045,-44.372508,90.0,bottom
R55,1kΩ,R_0402,162.095641,-58.766422,270.0,bottom
R56,100Ω,R_0402,143.175,-50.425,0.0,top
R6,100kΩ,R_0402,165.45,-88.9775,0.0,top
R7,2.7Ω,R_0805,198.5,-80.4,180.0,bottom
R8,2mΩ,R_2512_6332Metric,184.2,-81.4,0.0,bottom
R9,2mΩ,R_2512_6332Metric,184.7625,-69.6,0.0,bottom
S1,"Tactile Button, 160gf",SW_TS-1088-AR02016,163.875003,-46.2,180.0,top
S2,"Tactile Button, 160gf",SW_TS-1088-AR02016,163.874999,-49.7,180.0,top
TH1,Thermistor_NTC,R_0603,185.920001,-46.1,180.0,bottom
TH2,Thermistor_NTC,R_0603,137.2,-44.82,-90.0,top
TP1,TestPoint,TestPoint_Pad_1.5x1.5mm,192.2,-87.6,0.0,bottom
TP10,TestPoint,TestPoint_Pad_1.5x1.5mm,178.6,-62.65,0.0,bottom
TP11,TestPoint,TestPoint_Pad_1.5x1.5mm,178.45,-74.75,0.0,bottom
TP12,TestPoint,TestPoint_Pad_1.5x1.5mm,154.0,-80.25,0.0,top
TP13,TestPoint,TestPoint_Pad_1.5x1.5mm,158.25,-75.0,0.0,top
TP6,TestPoint,TestPoint_Pad_1.5x1.5mm,193.65,-62.75,0.0,bottom
TP7,TestPoint,TestPoint_Pad_1.5x1.5mm,193.8,-50.7,0.0,bottom
TP8,TestPoint,TestPoint_Pad_1.5x1.5mm,194.05,-74.95,0.0,bottom
TP9,TestPoint,TestPoint_Pad_1.5x1.5mm,178.45,-50.65,0.0,bottom
U1,LMR51635YDDCR,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,165.45,-86.8,90.0,top
U2,MA730,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,165.0,-68.5,0.0,bottom
U20,USBLC6-2P6,SOT-666,138.49,-82.75,90.0,top
U3,TPD1E05U06DYA,D_SOD-523,173.31026,-42.573744,-90.0,top
U4,DRV8353SRTAR,WQFN-40_L6.0-W6.0-P0.50-TL-EP4.5,169.6,-65.2,90.0,top
U5,LM66200DRLR,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,149.16,-81.75,-90.0,top
U6,AP2112K-3.3,SOT-23-5,153.05,-76.9975,0.0,top
U7,STM32G474RETx,LQFP-64_10x10mm_P0.5mm,151.9,-52.2,-90.0,top
U8,TCAN1462VDRBRQ1,DFN-8_L3.0-W3.0-P0.65-TL-EP2.4,134.67,-50.75,270.0,bottom
X1,X322524MOB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,153.600003,-43.350001,0.0,top
